ID,開催回,区分,問題番号,分野,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
1,2024年度,午前,問題 1,衛生学・公衆衛生学,非電離放射線はどれか。,アルファ線,超低周波,中性子線,エックス線,2,超低周波は非電離放射線です。他は電離放射線です。
2,2024年度,午前,問題 2,衛生学・公衆衛生学,下水道の普及による変化として正しいのはどれか。,地下水の汚染増加,都市型水害の防止,蚊の発生場所の増加,し尿の海洋投棄増加,2,下水道は雨水排除（水害防止）と汚水処理を担います。
3,2024年度,午前,問題 3,衛生学・公衆衛生学,地球温暖化の主な原因とされるガスはどれか。,二酸化炭素,窒素,アルゴン,一酸化炭素,1,二酸化炭素は代表的な温室効果ガスです。
4,2024年度,午前,問題 4,衛生学・公衆衛生学,生活環境における騒音の環境基準で最も厳しいのはどれか。,住宅地,商業地域,工業地域,道路に面する地域,1,静穏が必要な住宅地が最も厳しい基準となります。
5,2024年度,午前,問題 5,衛生学・公衆衛生学,学校保健安全法に基づき「出席停止」を措置するのは誰か。,学校医,保健所長,校長,教育委員会,3,出席停止の決定権者は校長です。
6,2024年度,午前,問題 6,衛生学・公衆衛生学,労働衛生の 3 管理において、保護具の着用はどれか。,作業環境管理,作業管理,健康管理,教育管理,2,保護具の使用は「作業管理」に分類されます。
7,2024年度,午前,問題 7,衛生学・公衆衛生学,WHO が提唱した健康の定義について正しいのはどれか。,身体的良好のみ,病気がないことと同義,社会的にも良好な状態,経済的豊かさが必須,3,健康とは身体的・精神的・社会的に良好な状態です。
8,2024年度,午前,問題 8,衛生学・公衆衛生学,精神保健福祉法に基づく「措置入院」を決定するのは誰か。,警察署長,家庭裁判所,都道府県知事,保健所長,3,措置入院は都道府県知事が決定します。
9,2024年度,午前,問題 9,衛生学・公衆衛生学,わが国の 2022 年の合計特殊出生率に近いのはどれか。,1.26,1.57,2.08,2.54,1,2022年の合計特殊出生率は1.26でした。
10,2024年度,午前,問題 10,衛生学・公衆衛生学,人口静態統計の元となる調査はどれか。,人口動態調査,国勢調査,国民生活基礎調査,患者調査,2,人口静態は国勢調査によって調べます。
11,2024年度,午前,問題 11,関係法規,はり師きゅう師法において、免許の取り消しを行うのは誰か。,学校の長,都道府県知事,保健所長,厚生労働大臣,4,免許の権限はすべて厚生労働大臣にあります。
12,2024年度,午前,問題 12,関係法規,はり師きゅう師法における守秘義務の対象はどれか。,患者のみ,患者の親族のみ,業務上知り得た人の秘密,公務員のみ,3,業務上知り得た他人の秘密を守る義務があります。
13,2024年度,午前,問題 13,関係法規,施術所を開設した日から何日以内に届け出なければならないか。,5 日以内,10 日以内,1 か月以内,3 か月以内,2,開設の届け出は事後10日以内です。
14,2024年度,午前,問題 14,関係法規,はり師きゅう師法において、広告できる事項はどれか。,施術者の学歴,施術者の経歴,健康保険適用の可否,駐車場がある旨,4,利便性に関する駐車場などは広告可能です。
15,2024年度,午前,問題 15,関係法規,免許証の記載事項に変更が生じた際、名簿の訂正を申請する期間は。,10 日以内,30 日以内,60 日以内,90 日以内,2,名簿の訂正申請は30日以内に行います。
16,2024年度,午前,問題 16,関係法規,医師の同意を得た場合のみ施術が可能なのはどれか。,肩こりの鍼,腰痛の灸,骨折・脱臼の応急処置,骨折・脱臼の施術,4,骨折・脱臼の施術には医師の同意が必要です。
17,2024年度,午前,問題 17,関係法規,医療法において、療養病床の入院患者数に対する医師の配置基準は。,10：1,16：1,48：1,100：1,3,療養病床では48：1が基準となります。
18,2024年度,午前,問題 18,関係法規,あはき法における「名称独占」に関する規定で正しいのはどれか。,医師は名乗れる,無免許者は名乗れない,学生は名乗れる,看護師は兼ねられる,2,免許がない者が名称を使うことを禁じる規定です。
19,2024年度,午前,問題 19,関係法規,施術所の構造設備基準において、施術室の面積はどれか。,3.3㎡以上,6.6㎡以上,9.9㎡以上,13.2㎡以上,2,施術室は6.6㎡（約4畳）以上必要です。
20,2024年度,午前,問題 20,関係法規,地域保健法において、保健所の設置主体として正しいのはどれか。,国,都道府県,市町村教育委員会,厚生労働省,2,都道府県や政令市などが設置します。
21,2024年度,午前,問題 21,解剖学,細胞の構造においてエネルギー（ATP）を産生するのはどれか。,リボソーム,ミトコンドリア,ゴルジ装置,中心体,2,ミトコンドリアはATPを産生する発電所です。
22,2024年度,午前,問題 22,解剖学,膀胱の粘膜に見られるのはどれか。,単層扁平上皮,多列円柱上皮,移行上皮,重層扁平上皮,3,伸縮する器官である膀胱などは移行上皮です。
23,2024年度,午前,問題 23,解剖学,骨の構造において、造血機能を持つのはどれか。,黄色髄,赤色髄,骨膜,骨皮質,2,赤色髄で血液細胞が作られます。
